District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
000442,Manchester Local,Adams,Region 14,3  Stars,74.0,80.8,109.3,0.3,20.2,21.7,29.3,17.5,10.8,0.2,82.1,77.4,40,"   $10,248"
043489,Akron City,Summit,Region 8,2  Stars,58.0,63.4,109.3,0.9,43.0,20.2,18.5,10.4,6.9,0.0,61.2,58.7,1008,"   $12,626"
043497,Alliance City,Stark,Region 9,2  Stars,66.5,72.6,109.3,1.2,31.3,20.1,22.6,12.9,10.6,1.3,72.8,72.6,138,"    $9,656"
043505,Ashland City,Ashland,Region 7,4  Stars,84.3,92.1,109.3,0.2,13.8,13.9,25.3,20.6,24.0,2.1,92.7,92.0,135,"    $9,780"
043513,Ashtabula Area City,Ashtabula,Region 5,2  Stars,58.2,63.6,109.3,1.1,41.3,21.6,19.6,10.4,5.4,0.6,66.3,64.2,121.4,"    $9,615"
043521,Athens City School District,Athens,Region 16,3  Stars,78.9,86.2,109.3,1.6,19.8,14.2,20.6,19.0,20.6,4.3,86.6,81.9,106.5,"   $11,836"
043539,Barberton City,Summit,Region 8,2  Stars,69.0,75.3,109.3,1.4,28.3,19.1,22.5,16.2,12.0,0.5,78.1,77.1,160,"   $11,497"
043547,Bay Village City,Cuyahoga,Region 3,5  Stars,97.1,106.1,109.3,0.1,3.1,6.8,21.4,28.5,37.7,2.4,106.6,104.9,125,"   $14,435"
043554,Beachwood City,Cuyahoga,Region 3,5  Stars,96.1,105.0,109.3,0.1,6.4,8.4,16.4,18.8,38.5,11.3,106.3,104.7,98.9,"   $19,862"
043562,Bedford City,Cuyahoga,Region 3,2  Stars,58.1,63.5,109.3,3.2,38.6,21.8,20.0,9.9,5.2,1.3,63.5,62.7,155.8,"   $15,294"
043570,Bellaire Local,Belmont,Region 12,4  Stars,80.7,88.2,109.3,2.0,16.6,14.8,18.7,19.7,26.9,1.3,89.0,84.8,51.8,"    $8,360"
043588,Bellefontaine City,Logan,Region 6,3  Stars,75.2,82.2,109.3,0.3,22.2,18.5,24.4,17.5,14.4,2.7,83.3,84.5,109.4,"   $10,188"
043596,Bellevue City,Huron,Region 2,4  Stars,84.2,92.0,109.3,0.0,11.4,16.5,27.9,22.6,21.2,0.4,92.6,88.7,77.8,"    $9,910"
043604,Belpre City,Washington,Region 16,3  Stars,72.6,79.4,109.3,1.0,22.9,19.5,27.3,16.8,11.8,0.6,80.0,76.1,51,"    $9,769"
043612,Berea City,Cuyahoga,Region 3,3  Stars,78.3,85.5,109.3,0.8,17.9,17.4,26.2,18.7,17.2,1.8,85.3,81.0,217,"   $11,702"
043620,Bexley City,Franklin,Region 11,5  Stars,92.0,100.5,109.3,1.0,8.1,8.0,19.8,24.6,35.9,2.5,101.6,100.1,129.7,"   $14,607"
043638,Bowling Green City School District,Wood,Region 1,4  Stars,80.6,88.1,109.3,0.8,17.3,15.9,22.7,19.0,17.9,6.4,85.0,82.4,133.3,"   $12,028"
043646,Brecksville-Broadview Heights City,Cuyahoga,Region 3,5  Stars,97.8,106.8,109.3,0.0,4.1,6.7,18.2,25.6,38.1,7.3,106.5,104.8,139.8,"   $12,961"
043653,Brooklyn City,Cuyahoga,Region 3,2  Stars,69.5,76.0,109.3,0.4,27.2,20.7,25.9,15.2,10.5,0.1,76.9,75.7,58.5,"   $13,341"
043661,Brunswick City,Medina,Region 8,4  Stars,84.0,91.8,109.3,0.2,13.5,14.6,25.0,21.6,23.7,1.3,92.3,89.5,251.8,"   $11,517"
043679,Bryan City,Williams,Region 1,4  Stars,81.4,89.0,109.3,0.0,15.2,17.6,26.6,18.3,19.4,2.9,90.3,88.6,74.8,"   $11,062"
043687,Bucyrus City,Crawford,Region 7,2  Stars,67.0,73.2,109.3,0.1,32.5,19.9,20.6,14.8,11.5,0.5,73.7,70.6,51,"   $11,003"
043695,Cambridge City,Guernsey,Region 12,2  Stars,63.7,69.7,109.3,2.8,31.4,21.5,22.4,14.2,7.8,0.0,70.3,68.2,93.8,"    $9,410"
043703,Campbell City,Mahoning,Region 5,2  Stars,64.6,70.6,109.3,1.2,31.4,22.9,23.9,12.8,7.5,0.4,68.6,68.5,64.5,"   $10,419"
043711,Canton City,Stark,Region 9,2  Stars,53.6,58.5,109.3,2.1,46.6,21.5,16.7,8.2,4.9,0.1,57.7,53.3,373,"   $12,011"
043729,Celina City,Mercer,Region 6,4  Stars,80.4,87.9,109.3,0.6,16.0,15.9,26.6,22.8,17.6,0.6,85.8,85.0,117.6,"    $9,667"
043737,Centerville City,Montgomery,Region 10,4  Stars,87.3,95.4,109.3,0.2,11.4,12.4,24.1,22.7,25.4,3.8,96.2,94.1,340.4,"   $12,938"
043745,Chillicothe City,Ross,Region 15,2  Stars,65.6,71.6,109.3,2.0,32.1,19.4,20.7,14.0,11.5,0.4,70.9,66.9,144,"    $8,786"
043752,Cincinnati Public Schools,Hamilton,Region 13,2  Stars,60.5,66.1,109.3,3.4,38.8,17.6,16.7,11.6,11.2,0.8,62.8,60.2,1595.7,"   $11,504"
043760,Circleville City,Pickaway,Region 11,2  Stars,69.9,76.3,109.3,0.4,27.6,20.5,22.8,15.4,12.7,0.5,77.4,73.8,90,"    $9,764"
043778,Claymont City,Tuscarawas,Region 12,3  Stars,74.2,81.0,109.3,0.2,22.4,20.3,23.5,17.9,14.6,1.1,81.6,78.6,80.3,"   $11,422"
043786,Cleveland Municipal,Cuyahoga,Region 3,2  Stars,51.1,55.8,109.3,3.0,49.1,20.6,16.5,7.2,3.6,0.1,55.3,54.1,1560.6,"   $11,818"
043794,Cleveland Heights-University Heights City,Cuyahoga,Region 3,2  Stars,63.3,69.2,109.3,1.3,35.1,20.7,20.4,12.1,10.1,0.2,70.6,66.9,248.3,"   $15,898"
043802,Columbus City Schools District,Franklin,Region 11,2  Stars,52.3,57.1,109.3,4.9,46.6,18.5,15.7,8.2,5.8,0.3,56.3,54.1,1992,"   $12,541"
043810,Conneaut Area City,Ashtabula,Region 5,3  Stars,71.9,78.5,109.3,0.7,26.1,17.7,24.6,16.4,13.8,0.6,76.2,74.0,74.2,"    $8,817"
043828,Coshocton City,Coshocton,Region 12,3  Stars,73.4,80.2,109.3,0.2,22.7,20.1,26.9,17.7,11.4,0.9,78.6,75.3,72,"    $9,686"
043836,Cuyahoga Falls City,Summit,Region 8,3  Stars,73.7,80.6,109.3,0.5,23.2,18.9,24.7,17.3,14.5,0.9,80.1,77.9,175.5,"   $11,632"
043844,Dayton City,Montgomery,Region 10,1  Star,48.8,53.3,109.3,3.8,52.2,19.1,14.7,6.6,3.5,0.0,50.8,50.4,622.7,"   $11,269"
043851,Deer Park Community City,Hamilton,Region 13,3  Stars,77.8,85.0,109.3,0.5,18.9,17.0,25.9,20.5,16.7,0.6,82.2,80.5,62,"   $12,536"
043869,Defiance City,Defiance,Region 1,3  Stars,74.2,81.1,109.3,0.3,21.5,19.9,27.5,17.8,12.5,0.4,79.7,79.3,112.6,"    $9,791"
043877,Delaware City,Delaware,Region 11,3  Stars,79.8,87.2,109.3,1.6,16.4,15.4,25.1,20.7,19.7,1.1,86.7,85.6,227.8,"   $10,201"
043885,Delphos City,Allen,Region 6,4  Stars,85.3,93.2,109.3,0.0,11.3,14.2,28.4,24.1,21.6,0.3,93.4,94.4,44.6,"    $9,966"
043893,Dover City,Tuscarawas,Region 12,4  Stars,81.9,89.5,109.3,0.5,15.0,15.3,26.2,21.1,20.9,0.9,90.9,87.8,113,"    $8,909"
043901,East Cleveland City School District,Cuyahoga,Region 3,1  Star,45.8,50.1,109.3,3.5,56.4,19.0,16.0,3.9,1.1,0.1,45.3,43.3,69,"   $20,809"
043919,East Liverpool City,Columbiana,Region 5,2  Stars,62.3,68.0,109.3,1.9,34.0,22.8,22.2,11.4,6.6,1.1,67.8,61.9,119,"    $9,125"
043927,East Palestine City,Columbiana,Region 5,3  Stars,73.6,80.4,109.3,0.2,24.0,18.2,25.9,17.4,14.0,0.4,78.9,78.8,62,"    $9,166"
043935,Eaton Community City,Preble,Region 10,4  Stars,82.1,89.7,109.3,0.9,13.3,16.0,28.2,21.0,19.8,0.9,90.4,88.7,94.7,"   $11,679"
043943,Elyria City Schools,Lorain,Region 2,2  Stars,60.7,66.4,109.3,2.2,36.3,21.7,20.8,11.8,6.9,0.3,66.0,65.2,293.6,"    $9,516"
043950,Euclid City,Cuyahoga,Region 3,2  Stars,55.6,60.7,109.3,1.9,43.0,22.8,18.9,8.6,4.7,0.2,59.8,56.4,257.2,"   $12,912"
043968,Fairborn City,Greene,Region 10,3  Stars,73.0,79.8,109.3,0.3,25.9,17.4,22.8,16.4,16.7,0.5,78.8,76.3,186.3,"    $9,436"
043976,Fairview Park City,Cuyahoga,Region 3,4  Stars,86.6,94.7,109.3,0.2,10.9,13.0,26.6,23.4,24.2,1.7,94.4,90.0,67.3,"   $12,013"
043984,Findlay City,Hancock,Region 1,3  Stars,79.6,87.0,109.3,0.3,18.9,15.0,23.5,20.4,20.9,1.0,85.7,82.3,202.9,"   $10,149"
043992,Fostoria City,Seneca,Region 1,2  Stars,62.4,68.1,109.3,0.0,37.2,21.1,22.5,12.2,6.8,0.2,69.4,68.9,91.9,"    $9,180"
044008,Franklin City,Warren,Region 13,3  Stars,77.3,84.5,109.3,0.2,19.9,16.6,27.1,20.3,15.1,0.7,85.0,85.4,129.5,"   $11,181"
044016,Fremont City,Sandusky,Region 1,3  Stars,71.0,77.6,109.3,0.5,26.5,20.3,21.2,17.2,13.2,1.2,77.3,72.8,156.6,"   $10,640"
044024,Galion City,Crawford,Region 7,3  Stars,72.0,78.7,109.3,0.1,24.9,20.4,24.0,18.2,11.3,1.1,78.6,77.7,79.2,"   $10,474"
044032,Gallipolis City,Gallia,Region 16,3  Stars,71.7,78.3,109.3,0.6,23.9,20.8,26.0,17.2,11.3,0.1,77.4,73.5,82.8,"    $9,043"
044040,Garfield Heights City Schools,Cuyahoga,Region 3,2  Stars,51.5,56.3,109.3,0.0,52.2,21.2,16.7,6.4,3.5,0.0,54.4,50.0,161,"   $10,972"
044057,Geneva Area City,Ashtabula,Region 5,3  Stars,75.5,82.5,109.3,0.8,21.9,16.4,26.2,18.2,16.6,0.1,83.5,81.8,108.1,"    $9,787"
044065,Girard City School District,Trumbull,Region 5,3  Stars,74.8,81.8,109.3,0.6,20.8,19.9,25.7,17.6,14.8,0.5,81.7,78.7,88.8,"   $10,365"
044073,Grandview Heights Schools,Franklin,Region 11,5  Stars,96.5,105.5,109.3,0.4,4.4,7.3,19.5,23.7,40.0,4.8,104.3,103.0,68.8,"   $17,556"
044081,Winton Woods City,Hamilton,Region 13,2  Stars,55.5,60.6,109.3,1.2,44.0,22.8,19.3,8.4,4.3,0.1,61.8,59.0,200.1,"   $10,320"
044099,Greenville City,Darke,Region 10,3  Stars,76.4,83.4,109.3,0.7,20.4,17.8,25.1,18.2,17.0,0.9,84.2,81.5,107,"   $10,262"
044107,Hamilton City,Butler,Region 13,3  Stars,70.3,76.8,109.3,0.7,26.0,20.5,25.8,15.5,11.0,0.5,77.2,75.6,385.3,"    $8,817"
044115,Heath City,Licking,Region 11,4  Stars,85.3,93.1,109.3,0.2,11.3,15.2,26.5,22.8,21.9,2.1,91.8,89.8,74,"   $10,348"
044123,Hillsboro City,Highland,Region 14,4  Stars,83.2,90.9,109.3,0.2,13.9,15.6,24.3,21.9,23.0,1.1,91.5,88.3,105,"   $10,829"
044131,Huron City Schools,Erie,Region 2,4  Stars,89.1,97.3,109.3,0.1,9.2,11.3,25.2,25.7,27.3,1.1,95.7,93.7,50.4,"   $11,513"
044149,Ironton City School District,Lawrence,Region 15,3  Stars,73.9,80.8,109.3,0.1,23.3,18.8,25.5,17.9,13.7,0.6,83.8,79.5,66,"    $8,614"
044156,Jackson City,Jackson,Region 16,4  Stars,81.0,88.5,109.3,0.2,15.5,16.8,25.7,22.4,19.1,0.4,88.1,88.4,123,"    $9,318"
044164,Kent City,Portage,Region 8,4  Stars,80.0,87.4,109.3,0.5,17.5,15.5,24.3,20.7,21.0,0.5,87.8,84.5,156.3,"   $12,729"
044172,Kenton City,Hardin,Region 6,3  Stars,70.5,77.0,109.3,0.4,26.1,20.4,25.9,16.0,10.9,0.3,79.4,75.1,87.1,"    $9,583"
044180,Kettering City School District,Montgomery,Region 10,4  Stars,84.2,92.0,109.3,1.2,13.9,12.7,23.0,21.4,25.6,2.3,91.8,90.9,327,"   $12,369"
044198,Lakewood City,Cuyahoga,Region 3,4  Stars,86.2,94.2,109.3,0.9,12.4,12.4,22.1,21.2,26.9,4.1,94.2,91.2,204,"   $14,779"
044206,Lancaster City,Fairfield,Region 11,3  Stars,72.1,78.7,109.3,2.3,24.1,17.5,23.6,17.2,14.4,1.0,78.9,77.7,248.5,"   $10,049"
044214,Lebanon City,Warren,Region 13,4  Stars,83.3,91.0,109.3,0.7,14.8,13.7,23.5,20.9,24.5,2.0,91.1,90.3,204.7,"   $10,555"
044222,Lima City,Allen,Region 6,2  Stars,56.1,61.3,109.3,2.8,42.3,21.1,18.2,9.7,5.4,0.5,61.5,60.1,171.3,"   $11,109"
044230,Lockland Local,Hamilton,Region 13,1  Star,46.2,50.5,109.3,6.6,47.8,25.0,15.9,3.8,0.8,0.0,53.1,48.3,22,"   $10,889"
044248,Logan-Hocking Local,Hocking,Region 16,3  Stars,78.7,86.0,109.3,0.4,17.7,16.9,27.2,20.0,17.1,0.6,88.2,85.8,155.1,"   $10,315"
044255,London City,Madison,Region 11,3  Stars,73.4,80.2,109.3,0.3,24.1,18.6,24.9,16.7,14.8,0.6,79.8,76.9,86.9,"    $9,277"
044263,Lorain City,Lorain,Region 2,1  Star,46.7,51.0,109.3,6.4,51.1,19.8,13.8,6.0,2.7,0.0,53.3,53.3,289,"   $11,434"
044271,Loveland City,Hamilton,Region 13,5  Stars,93.2,101.9,109.3,0.3,7.0,9.1,19.6,24.2,37.3,2.5,100.2,99.4,174.2,"   $11,653"
044289,Madeira City,Hamilton,Region 13,5  Stars,97.5,106.5,109.3,0.1,4.5,6.4,15.7,24.7,47.5,1.1,105.9,105.9,88.5,"   $12,840"
044297,Mansfield City,Richland,Region 7,2  Stars,59.3,64.8,109.3,0.8,40.6,21.5,19.1,9.8,7.0,1.1,64.6,62.9,180.8,"   $11,800"
044305,Maple Heights City,Cuyahoga,Region 3,2  Stars,56.2,61.4,109.3,0.6,44.7,21.3,20.0,9.1,4.4,0.0,60.0,58.1,140,"   $10,691"
044313,Mariemont City,Hamilton,Region 13,5  Stars,99.9,109.2,109.3,0.0,2.4,5.2,17.6,24.9,44.6,5.2,108.7,107.9,91.3,"   $15,771"
044321,Marietta City,Washington,Region 16,2  Stars,69.4,75.8,109.3,0.4,27.2,20.8,26.3,14.9,10.0,0.3,75.1,74.3,99,"    $9,586"
044339,Marion City,Marion,Region 7,2  Stars,57.9,63.3,109.3,0.9,42.5,21.0,18.8,10.2,5.8,0.7,63.5,61.0,239.4,"    $9,786"
044347,Martins Ferry City,Belmont,Region 12,3  Stars,73.7,80.5,109.3,1.3,20.9,19.3,28.6,18.6,11.2,0.1,79.8,76.1,63.3,"    $9,942"
044354,Massillon City,Stark,Region 9,2  Stars,67.5,73.7,109.3,2.0,28.9,19.2,24.0,14.7,10.7,0.4,76.0,75.5,175.2,"    $9,179"
044362,Maumee City,Lucas,Region 1,4  Stars,80.6,88.1,109.3,0.3,16.8,15.8,25.5,20.5,19.1,2.1,89.8,89.7,121.1,"   $12,817"
044370,Mayfield City,Cuyahoga,Region 3,4  Stars,87.9,96.0,109.3,0.3,10.4,12.1,25.1,23.3,26.4,2.5,93.3,90.0,179.3,"   $14,584"
044388,Medina City SD,Medina,Region 8,4  Stars,87.6,95.7,109.3,0.7,9.4,12.2,27.1,24.5,24.1,2.0,96.0,95.6,283.9,"   $12,357"
044396,Miamisburg City,Montgomery,Region 10,3  Stars,76.3,83.3,109.3,0.6,21.2,16.4,25.7,19.0,16.6,0.4,83.7,82.2,201.6,"   $10,077"
044404,Middletown City,Butler,Region 13,2  Stars,58.7,64.2,109.3,0.0,42.5,21.1,20.0,9.9,6.2,0.3,62.7,59.3,263.5,"    $8,638"
044412,Mt Healthy City,Hamilton,Region 13,2  Stars,50.0,54.6,109.3,2.5,51.1,21.1,15.5,6.4,3.3,0.1,54.8,52.6,182.1,"   $12,831"
044420,Mount Vernon City,Knox,Region 7,4  Stars,83.8,91.5,109.3,0.3,13.4,14.7,25.9,21.1,24.0,0.6,91.2,88.1,179.2,"    $9,908"
044438,Napoleon Area City,Henry,Region 1,4  Stars,86.2,94.2,109.3,0.2,10.8,13.1,27.8,24.3,22.9,0.8,92.9,91.8,83.6,"   $11,131"
044446,Nelsonville-York City,Athens,Region 16,2  Stars,62.5,68.3,109.3,1.4,34.7,22.3,21.3,13.2,6.4,0.7,69.8,66.9,65.3,"   $11,081"
044453,Newark City,Licking,Region 11,3  Stars,71.3,77.9,109.3,1.0,25.1,19.7,23.7,17.3,12.7,0.4,79.8,78.1,287.2,"   $10,365"
044461,New Boston Local,Scioto,Region 15,3  Stars,71.4,78.0,109.3,0.0,25.3,20.4,26.8,16.8,10.8,0.0,75.3,78.5,26,"   $13,589"
044479,New Lexington School District,Perry,Region 16,3  Stars,72.7,79.4,109.3,1.1,21.4,20.8,29.2,16.5,10.9,0.0,80.0,79.0,84.5,"   $10,997"
044487,New Philadelphia City,Tuscarawas,Region 12,4  Stars,80.4,87.9,109.3,0.6,17.7,14.7,23.7,20.5,21.4,1.4,85.4,85.3,134,"    $8,881"
044495,Niles City,Trumbull,Region 5,3  Stars,74.2,81.0,109.3,0.4,23.0,18.3,25.0,19.1,13.3,0.9,79.9,75.9,97.9,"    $8,759"
044503,North Canton City,Stark,Region 9,5  Stars,91.2,99.7,109.3,0.2,7.5,11.0,23.2,24.4,30.0,3.6,100.2,99.3,181.8,"   $11,097"
044511,North College Hill City,Hamilton,Region 13,1  Star,49.6,54.2,109.3,1.6,51.6,22.7,16.0,6.2,1.8,0.0,55.2,53.6,73.8,"    $8,486"
044529,North Olmsted City,Cuyahoga,Region 3,3  Stars,78.3,85.5,109.3,0.5,18.1,17.7,25.9,20.3,15.9,1.7,85.1,85.2,143.4,"   $12,712"
044537,North Ridgeville City,Lorain,Region 2,4  Stars,83.8,91.6,109.3,0.3,13.3,14.5,26.4,23.1,20.3,2.1,90.9,88.8,186.9,"    $9,918"
044545,North Royalton City,Cuyahoga,Region 3,5  Stars,91.3,99.8,109.3,0.3,7.5,10.5,23.9,23.5,30.6,3.6,101.2,98.8,177.3,"   $11,811"
044552,Norton City,Summit,Region 8,4  Stars,85.9,93.8,109.3,0.0,11.7,14.0,25.7,22.9,23.5,2.2,92.8,92.2,113,"    $9,634"
044560,Norwalk City,Huron,Region 2,3  Stars,79.4,86.7,109.3,0.1,17.2,17.5,26.4,19.5,18.6,0.6,87.0,85.8,115.3,"    $9,516"
044578,Norwood City,Hamilton,Region 13,3  Stars,72.9,79.7,109.3,2.2,23.1,17.3,24.7,16.3,15.7,0.7,80.3,76.3,81.9,"   $11,650"
044586,Oakwood City,Montgomery,Region 10,5  Stars,99.0,108.2,109.3,0.1,3.6,5.6,16.0,24.2,46.2,4.3,107.2,106.8,103.7,"   $13,687"
044594,Oberlin City Schools,Lorain,Region 2,3  Stars,75.2,82.1,109.3,0.7,23.1,17.8,20.6,17.0,18.2,2.6,82.5,80.5,58.7,"   $14,595"
044602,Oregon City,Lucas,Region 1,4  Stars,80.9,88.4,109.3,0.5,15.1,17.0,27.2,19.7,17.7,2.7,87.2,83.1,158,"   $12,611"
044610,Orrville City,Wayne,Region 9,4  Stars,82.3,90.0,109.3,0.3,15.9,14.3,23.3,22.8,22.2,1.2,88.7,90.2,77.6,"   $11,204"
044628,Painesville City Local,Lake,Region 4,2  Stars,61.5,67.2,109.3,0.0,37.2,23.0,21.4,12.2,6.0,0.2,68.0,65.1,123.8,"    $9,928"
044636,Parma City,Cuyahoga,Region 3,3  Stars,75.2,82.2,109.3,0.7,21.1,19.0,24.5,17.8,15.9,1.0,81.2,76.8,379.4,"   $11,687"
044644,Piqua City,Miami,Region 10,3  Stars,74.6,81.5,109.3,0.8,22.1,18.4,24.6,17.7,15.3,1.0,79.5,78.3,142.1,"   $11,346"
044651,Port Clinton City,Ottawa,Region 1,3  Stars,79.6,87.0,109.3,0.2,18.3,15.5,25.8,19.8,19.2,1.2,89.9,84.0,71,"   $14,028"
044669,Portsmouth City,Scioto,Region 15,2  Stars,59.7,65.2,109.3,0.4,42.1,18.7,21.1,10.5,7.2,0.0,66.4,62.5,99.3,"    $8,860"
044677,Princeton City,Hamilton,Region 13,3  Stars,70.7,77.2,109.3,0.7,26.9,19.0,23.7,15.6,13.5,0.5,77.4,74.5,285.5,"   $11,985"
044685,Ravenna City,Portage,Region 8,2  Stars,65.3,71.3,109.3,1.1,32.2,20.8,22.1,14.5,9.2,0.1,72.3,68.7,85.3,"    $9,767"
044693,Reading Community City,Hamilton,Region 13,3  Stars,71.0,77.6,109.3,1.8,22.9,22.1,24.9,16.1,10.3,2.0,78.8,77.5,70.8,"   $10,019"
044701,Rocky River City,Cuyahoga,Region 3,5  Stars,100.9,110.2,109.3,0.1,2.7,4.7,14.5,22.5,48.9,6.6,110.2,108.0,125.4,"   $14,620"
044719,St Bernard-Elmwood Place City,Hamilton,Region 13,2  Stars,65.8,71.9,109.3,1.5,27.1,25.4,27.5,11.5,6.7,0.2,73.3,73.3,48.9,"   $13,035"
044727,St Marys City,Auglaize,Region 6,3  Stars,79.2,86.5,109.3,0.0,16.7,18.2,27.9,20.4,16.2,0.7,87.0,85.8,90.5,"   $10,121"
044735,Salem City,Columbiana,Region 5,3  Stars,76.5,83.6,109.3,0.6,21.8,15.7,23.8,20.4,16.6,1.1,84.3,83.7,89.3,"    $8,998"
044743,Sandusky City,Erie,Region 2,2  Stars,60.6,66.2,109.3,1.4,38.4,20.6,20.6,11.3,7.4,0.3,66.6,65.0,132,"   $10,814"
044750,Shaker Heights City,Cuyahoga,Region 3,3  Stars,78.2,85.4,109.3,0.2,21.1,15.7,21.2,17.6,23.0,1.1,84.9,83.9,246.3,"   $20,542"
044768,Sheffield-Sheffield Lake City,Lorain,Region 2,3  Stars,78.4,85.6,109.3,0.7,16.1,18.7,29.6,19.8,13.9,1.1,86.0,84.3,77,"   $11,707"
044776,Shelby City,Richland,Region 7,4  Stars,82.0,89.6,109.3,0.0,14.3,17.2,26.3,22.0,17.8,2.4,89.7,88.4,79.4,"   $10,728"
044784,Sidney City,Shelby,Region 6,2  Stars,69.1,75.5,109.3,2.3,27.3,17.9,23.7,16.6,11.9,0.2,78.0,76.0,116,"    $9,308"
044792,South Euclid-Lyndhurst City,Cuyahoga,Region 3,2  Stars,67.3,73.5,109.3,1.4,29.7,19.9,23.9,14.2,10.4,0.5,72.7,69.0,165.2,"   $14,739"
044800,South-Western City,Franklin,Region 11,2  Stars,69.9,76.3,109.3,0.9,27.8,19.1,23.2,15.2,13.1,0.6,76.8,76.4,917.3,"   $10,025"
044818,Springfield City School District,Clark,Region 10,2  Stars,53.3,58.2,109.3,1.1,48.3,21.4,16.8,8.1,4.3,0.1,57.2,56.5,403.3,"   $10,125"
044826,Steubenville City,Jefferson,Region 12,5  Stars,95.2,104.0,109.3,0.9,4.6,6.9,22.3,28.2,30.8,6.3,102.5,99.4,120,"    $8,619"
044834,Stow-Munroe Falls City School District,Summit,Region 8,4  Stars,82.1,89.7,109.3,1.1,13.4,16.5,25.4,22.1,19.8,1.7,89.0,87.2,212.7,"   $10,978"
044842,Strongsville City,Cuyahoga,Region 3,5  Stars,91.3,99.8,109.3,0.5,7.8,10.0,22.4,23.2,33.1,2.9,98.8,98.1,243.8,"   $13,011"
044859,Struthers City,Mahoning,Region 5,3  Stars,71.7,78.4,109.3,0.3,24.3,20.9,26.6,15.7,11.7,0.5,79.4,78.6,81.8,"    $9,434"
044867,Sycamore Community City,Hamilton,Region 13,5  Stars,96.4,105.4,109.3,0.4,6.2,6.8,16.1,21.5,40.9,8.2,105.2,104.0,287.6,"   $13,138"
044875,Sylvania Schools,Lucas,Region 1,4  Stars,86.1,94.1,109.3,0.5,11.3,13.4,24.3,22.7,26.9,0.8,94.5,93.0,336.2,"   $10,759"
044883,Tallmadge City,Summit,Region 8,4  Stars,81.6,89.2,109.3,0.3,14.2,16.6,26.7,23.4,18.8,0.1,90.3,88.4,114.9,"   $11,328"
044891,Tiffin City Schools,Seneca,Region 7,3  Stars,76.0,83.0,109.3,0.8,20.8,17.5,25.4,19.2,15.2,1.2,81.1,81.9,99,"    $9,884"
044909,Toledo City,Lucas,Region 1,2  Stars,53.0,57.9,109.3,2.6,46.6,21.4,17.3,8.0,4.2,0.0,58.8,53.8,1018.1,"   $11,809"
044917,Toronto City,Jefferson,Region 12,3  Stars,76.4,83.5,109.3,0.7,17.7,20.5,27.3,21.4,11.2,1.2,80.5,82.3,45.8,"    $8,971"
044925,Troy City,Miami,Region 10,4  Stars,83.4,91.1,109.3,0.3,15.1,13.4,23.4,23.0,24.2,0.6,90.7,87.8,182,"   $10,743"
044933,Upper Arlington City,Franklin,Region 11,5  Stars,93.7,102.3,109.3,1.6,5.4,8.2,20.7,24.9,33.2,6.0,101.1,99.4,290.2,"   $13,826"
044941,Urbana City,Champaign,Region 6,3  Stars,71.9,78.5,109.3,0.6,24.6,19.4,26.3,18.1,10.9,0.2,76.8,75.5,93.7,"   $10,636"
044958,Vandalia-Butler City,Montgomery,Region 10,4  Stars,81.2,88.7,109.3,0.4,15.3,16.3,25.4,22.6,19.1,0.8,89.2,89.2,112.3,"   $10,910"
044966,Van Wert City,Van Wert,Region 1,3  Stars,74.2,81.1,109.3,1.3,21.3,18.7,25.6,18.8,14.3,0.1,81.1,80.0,99.9,"    $8,895"
044974,Wadsworth City,Medina,Region 8,4  Stars,88.0,96.2,109.3,0.8,9.5,11.4,26.2,24.5,25.6,2.1,95.2,94.9,197.4,"   $11,475"
044982,Wapakoneta City,Auglaize,Region 6,4  Stars,81.6,89.1,109.3,0.3,14.0,17.2,27.6,21.5,18.3,1.1,88.0,87.9,123,"   $10,130"
044990,Warren City,Trumbull,Region 5,2  Stars,57.9,63.3,109.3,0.9,41.2,22.9,19.0,10.1,5.7,0.2,62.9,60.0,220.4,"   $10,524"
045005,Warrensville Heights City,Cuyahoga,Region 3,2  Stars,59.3,64.8,109.3,0.2,37.7,26.0,22.5,9.0,4.6,0.0,62.8,61.8,122.7,"   $13,353"
045013,Washington Court House City,Fayette,Region 14,3  Stars,72.8,79.6,109.3,0.4,23.8,19.7,26.9,14.8,13.3,1.1,82.0,79.9,112,"    $9,824"
045021,Wellston City,Jackson,Region 16,3  Stars,72.1,78.8,109.3,0.9,23.6,20.3,26.1,16.6,11.4,1.1,77.9,73.3,75.1,"   $10,405"
045039,Wellsville Local,Columbiana,Region 5,2  Stars,64.2,70.1,109.3,1.6,31.1,23.5,21.9,14.5,7.3,0.1,68.8,71.9,46.7,"   $12,459"
045047,Westerville City,Franklin,Region 11,4  Stars,81.6,89.1,109.3,1.0,16.5,14.3,22.5,20.5,23.0,2.3,87.9,86.1,640,"   $11,388"
045054,West Carrollton City,Montgomery,Region 10,2  Stars,66.4,72.6,109.3,1.6,30.2,20.6,23.1,13.5,10.9,0.1,72.8,73.2,149.2,"   $10,291"
