District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
047522,Upper Scioto Valley Local,Hardin,Region 6,3  Stars,72.0,78.7,109.3,0.1,23.2,22.8,24.8,15.9,13.1,0.0,78.9,73.7,26.4,"   $12,888"
047548,Conotton Valley Union Local,Harrison,Region 12,4  Stars,82.5,90.1,109.3,0.0,11.9,18.1,32.1,19.4,18.1,0.4,85.6,74.5,31.8,"   $16,158"
047571,Holgate Local,Henry,Region 1,4  Stars,82.8,90.4,109.3,0.0,13.1,16.3,27.9,25.1,16.5,1.1,93.7,91.9,27,"   $14,540"
047589,Liberty Center Local,Henry,Region 1,5  Stars,91.6,100.1,109.3,0.0,6.2,11.0,25.7,27.3,29.0,0.8,96.3,94.1,55,"   $12,687"
047597,Patrick Henry Local,Henry,Region 1,4  Stars,86.4,94.4,109.3,0.1,10.4,13.4,28.3,24.2,22.9,0.6,93.8,93.7,49,"   $14,094"
047613,Bright Local,Highland,Region 14,3  Stars,79.8,87.2,109.3,0.4,13.5,21.1,27.4,20.4,17.0,0.2,88.2,86.7,39,"   $11,538"
047621,Fairfield Local,Highland,Region 14,4  Stars,83.9,91.6,109.3,0.2,12.4,16.2,25.1,23.2,22.1,0.9,90.4,91.6,41,"   $11,181"
047639,Lynchburg-Clay Local,Highland,Region 14,4  Stars,83.0,90.7,109.3,0.2,13.0,15.2,28.8,24.9,17.9,0.0,90.7,93.4,60.1,"   $12,371"
047688,East Holmes Local,Holmes,Region 12,4  Stars,89.7,98.0,109.3,0.2,9.0,11.0,22.3,26.9,29.3,1.2,98.9,97.7,80.3,"   $12,204"
047696,West Holmes Local,Holmes,Region 9,4  Stars,80.6,88.1,109.3,0.2,16.9,14.8,27.8,20.8,19.6,0.0,88.3,87.5,98.2,"   $11,427"
047712,Monroeville Local,Huron,Region 2,3  Stars,75.3,82.3,109.3,0.1,17.0,24.2,29.6,18.1,10.7,0.2,80.5,78.7,33,"   $12,387"
047720,New London Local,Huron,Region 2,3  Stars,75.9,82.9,109.3,0.6,20.8,18.0,26.5,19.3,10.9,3.9,84.4,79.0,47.5,"   $13,908"
